elec_type,elec_amount kwh,elec_loc,elec_mix ratio,database,total_flow
"market group for electricity, medium voltage",1.0,USA,1.0,ecoinvent_updated,1.0
"market group for electricity, high voltage",1.0052,USA,1.0052,ecoinvent_updated,1.0052
"market group for electricity, medium voltage",0.0033000000000000004,USA,0.0033000000000000004,ecoinvent_updated,0.0033000000000000004
"market for sulfur hexafluoride, liquid",5.4e-08,RoW,5.4e-08,ecoinvent_updated,5.4e-08
"transmission network construction, electricity, medium voltage",1.8628e-08,RoW,1.8628e-08,ecoinvent_updated,1.8628e-08
"market group for electricity, high voltage",1.0,USA,1.0,ecoinvent_updated,1.0
"market group for electricity, high voltage",0.023999999999999997,USA,0.023999999999999997,ecoinvent_updated,0.023999999999999997
"electricity production, at BIGCC power plant, no CCS",0.001525109199431655,USA,0.001525109199431655,ecoinvent_updated,0.001525109199431655
"electricity production, at wood burning power plant 20 MW, truck 25km, no CCS",0.01504373460325047,USA,0.01504373460325047,ecoinvent_updated,0.01504373460325047
"electricity production, at power plant/hard coal, IGCC, no CCS",0.008319325591550724,USA,0.008319325591550724,ecoinvent_updated,0.008319325591550724
"electricity production, at power plant/lignite, IGCC, no CCS",0.008319325591550724,USA,0.008319325591550724,ecoinvent_updated,0.008319325591550724
"electricity production, hard coal",0.0008602795650728412,US-NPCC,0.0008602795650728412,ecoinvent_updated,0.0008602795650728412
"electricity production, hard coal",0.014821052168013084,US-MRO,0.014821052168013084,ecoinvent_updated,0.014821052168013084
"electricity production, hard coal",0.014485906574739069,US-TRE,0.014485906574739069,ecoinvent_updated,0.014485906574739069
"electricity production, hard coal",0.050397627402084096,US-RFC,0.050397627402084096,ecoinvent_updated,0.050397627402084096
"electricity production, lignite",0.05539107911485828,US-RFC,0.05539107911485828,ecoinvent_updated,0.05539107911485828
"electricity production, hard coal",0.04405445298185184,US-SERC,0.04405445298185184,ecoinvent_updated,0.04405445298185184
"electricity production, hard coal",0.020597525857800187,US-WECC,0.020597525857800187,ecoinvent_updated,0.020597525857800187
"electricity production, lignite",0.015921156696584598,US-TRE,0.015921156696584598,ecoinvent_updated,0.015921156696584598
"electricity production, lignite",0.048419833147750176,US-SERC,0.048419833147750176,ecoinvent_updated,0.048419833147750176
