Common_name,Ecoinvent_name,Ecoinvent_code,type_of_flow
"market for natural gas, high pressure","market for natural gas, high pressure",343a431149f719eb8c06bf29f08d92a7,technosphere
market for municipal solid waste,market for municipal solid waste,3150c04f0ed64966d6b4f6c52eb4e9b4,technosphere
"carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m","carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m",3e9f00ba966749e89a7cf3b371d08962,technosphere
"steel production, converter, low-alloyed","steel production, converter, low-alloyed",aa7a3447cd0b442b86fe5921cbe2fe2f,technosphere
"market for water, decarbonised","market for water, decarbonised",b402b65ffd0d1c7df3b2cbaee24e1916,technosphere
"steel production, converter, low-alloyed","steel production, converter, low-alloyed",1a6ab393e4dd46aa84ea5cc57726defd,technosphere
market for lubricating oil,market for lubricating oil,0acb9c867cdbf81942e3e976fbe7bdbb,technosphere
"market for steel, low-alloyed","market for steel, low-alloyed",d6d03ac3d9ef40f29739f8ace16381d8,technosphere
"market for argon, liquid","market for argon, liquid",40d0d5bfe4cfcbbbdff497450285a946,technosphere
"steel production, electric, chromium steel 18/8","steel production, electric, chromium steel 18/8",f050682cd39843aea5d0907926e8937c,technosphere
"market for cement, Portland","market for cement, Portland",1841fa5cfb682f17731b6ed560ff279b,technosphere
"market for concrete, normal","market for concrete, normal",210f5167e4da4bd6e8896a9a56340eb7,technosphere
market for tap water,market for tap water,9d9025b262b9a0fb3aacfdf720130948,technosphere
"treatment of wood ash mixture, pure, sanitary landfill","treatment of wood ash mixture, pure, sanitary landfill",320cd439f60dc8593aa19d885e713a99,technosphere
"transport, freight, lorry, unspecified, long haul","transport, freight, lorry, unspecified, long haul",e05284f48a894e47b7a213b827f901b0,technosphere
market for municipal solid waste,market for municipal solid waste,648780bdf678ce787c92f8a33c7d47c8,technosphere
market for tap water,market for tap water,20030d8301f2a68c19ae553a54298a71,technosphere
"market for concrete, normal","market for concrete, normal",ecb2b690f4a0ab6fbdb4c4e7ef77d676,technosphere
market for municipal solid waste,market for municipal solid waste,645ed40dbdcb913e655e7f19323096ad,technosphere
